Date,Close
1/2/2015 16:00:00,52.02
1/5/2015 16:00:00,50.97
1/6/2015 16:00:00,50.34
1/7/2015 16:00:00,52.01
1/8/2015 16:00:00,52.92
1/9/2015 16:00:00,52.82
1/12/2015 16:00:00,52.43
1/13/2015 16:00:00,52.21
1/14/2015 16:00:00,51.99
1/15/2015 16:00:00,51.38
1/16/2015 16:00:00,52.08
1/20/2015 16:00:00,51.16
1/21/2015 16:00:00,51.41
1/22/2015 16:00:00,53.06
1/23/2015 16:00:00,53.29
1/26/2015 16:00:00,53.38
1/27/2015 16:00:00,52.8
1/28/2015 16:00:00,52.42
1/29/2015 16:00:00,53.4
1/30/2015 16:00:00,51.97
2/2/2015 16:00:00,52.3
2/3/2015 16:00:00,52.93
2/4/2015 16:00:00,52.96
2/5/2015 16:00:00,54.07
2/6/2015 16:00:00,53.16
2/9/2015 16:00:00,52.57
2/10/2015 16:00:00,53.27
2/11/2015 16:00:00,53.2
2/12/2015 16:00:00,53.79
2/13/2015 16:00:00,53.71
2/17/2015 16:00:00,54.68
2/18/2015 16:00:00,55.01
2/19/2015 16:00:00,55.13
2/20/2015 16:00:00,55.75
2/23/2015 16:00:00,55.68
2/24/2015 16:00:00,55.99
2/25/2015 16:00:00,56.78
2/26/2015 16:00:00,57.09
2/27/2015 16:00:00,58.32
3/2/2015 16:00:00,58.82
3/3/2015 16:00:00,58.61
3/4/2015 16:00:00,57.58
3/5/2015 16:00:00,57.9
3/6/2015 16:00:00,56.92
3/9/2015 16:00:00,57.12
3/10/2015 16:00:00,56
3/11/2015 16:00:00,55.01
3/12/2015 16:00:00,55.97
3/13/2015 16:00:00,55.73
3/16/2015 16:00:00,56.22
3/17/2015 16:00:00,55.99
3/18/2015 16:00:00,56.76
3/19/2015 16:00:00,56.62
3/20/2015 16:00:00,56.96
3/23/2015 16:00:00,57
3/24/2015 16:00:00,57.65
3/25/2015 16:00:00,56.91
3/26/2015 16:00:00,56.48
3/27/2015 16:00:00,56.31
3/30/2015 16:00:00,57.1
3/31/2015 16:00:00,56.6
4/1/2015 16:00:00,56.69
4/2/2015 16:00:00,57.37
4/6/2015 16:00:00,57.33
4/7/2015 16:00:00,56.29
4/8/2015 16:00:00,56.3
4/9/2015 16:00:00,56.75
4/10/2015 16:00:00,57.54
4/13/2015 16:00:00,58.04
4/14/2015 16:00:00,57.25
4/15/2015 16:00:00,57.24
4/16/2015 16:00:00,57.16
4/17/2015 16:00:00,57.34
4/20/2015 16:00:00,58.31
4/21/2015 16:00:00,58.14
4/22/2015 16:00:00,60.43
4/23/2015 16:00:00,60.45
4/24/2015 16:00:00,62.63
4/27/2015 16:00:00,62.28
4/28/2015 16:00:00,62.44
4/29/2015 16:00:00,62.02
4/30/2015 16:00:00,61.81
5/1/2015 16:00:00,66.08
5/4/2015 16:00:00,65.44
5/5/2015 16:00:00,64.71
