Date,Close
1/2/2015 16:00:00,27.61
1/5/2015 16:00:00,27.06
1/6/2015 16:00:00,27.05
1/7/2015 16:00:00,27.3
1/8/2015 16:00:00,27.51
1/9/2015 16:00:00,27.79
1/12/2015 16:00:00,28.05
1/13/2015 16:00:00,28.1
1/14/2015 16:00:00,27.92
1/15/2015 16:00:00,27.41
1/16/2015 16:00:00,27.68
1/20/2015 16:00:00,28.07
1/21/2015 16:00:00,27.84
1/22/2015 16:00:00,28.5
1/23/2015 16:00:00,28.21
1/26/2015 16:00:00,27.97
1/27/2015 16:00:00,26.9
1/28/2015 16:00:00,26.81
1/29/2015 16:00:00,27.22
1/30/2015 16:00:00,26.37
2/2/2015 16:00:00,26.83
2/3/2015 16:00:00,27.12
2/4/2015 16:00:00,26.69
2/5/2015 16:00:00,27.26
2/6/2015 16:00:00,27.24
2/9/2015 16:00:00,27.12
2/10/2015 16:00:00,27.49
2/11/2015 16:00:00,26.93
2/12/2015 16:00:00,29.46
2/13/2015 16:00:00,29.43
2/17/2015 16:00:00,29.31
2/18/2015 16:00:00,29.49
2/19/2015 16:00:00,29.31
2/20/2015 16:00:00,29.61
2/23/2015 16:00:00,29.63
2/24/2015 16:00:00,29.63
2/25/2015 16:00:00,29.49
2/26/2015 16:00:00,29.91
2/27/2015 16:00:00,29.51
3/2/2015 16:00:00,30.19
3/3/2015 16:00:00,29.54
3/4/2015 16:00:00,29.33
3/5/2015 16:00:00,29.3
3/6/2015 16:00:00,28.93
3/9/2015 16:00:00,29.36
3/10/2015 16:00:00,28.66
3/11/2015 16:00:00,28.26
3/12/2015 16:00:00,28.24
3/13/2015 16:00:00,27.94
3/16/2015 16:00:00,28.3
3/17/2015 16:00:00,28.15
3/18/2015 16:00:00,28.15
3/19/2015 16:00:00,28.26
3/20/2015 16:00:00,28.44
3/23/2015 16:00:00,28.41
3/24/2015 16:00:00,28
3/25/2015 16:00:00,27.46
3/26/2015 16:00:00,27.09
3/27/2015 16:00:00,27.13
3/30/2015 16:00:00,27.65
3/31/2015 16:00:00,27.53
4/1/2015 16:00:00,27.25
4/2/2015 16:00:00,27.13
4/6/2015 16:00:00,27.22
4/7/2015 16:00:00,27.39
4/8/2015 16:00:00,27.55
4/9/2015 16:00:00,27.63
4/10/2015 16:00:00,28.04
4/13/2015 16:00:00,27.98
4/14/2015 16:00:00,27.81
4/15/2015 16:00:00,28.25
4/16/2015 16:00:00,28.6
4/17/2015 16:00:00,27.92
4/20/2015 16:00:00,28.48
4/21/2015 16:00:00,28.69
4/22/2015 16:00:00,28.62
4/23/2015 16:00:00,28.68
4/24/2015 16:00:00,28.82
4/27/2015 16:00:00,28.89
4/28/2015 16:00:00,29.32
4/29/2015 16:00:00,29.05
4/30/2015 16:00:00,28.83
5/1/2015 16:00:00,29.13
5/4/2015 16:00:00,29.17
5/5/2015 16:00:00,28.89
5/6/2015 16:00:00,28.97
5/7/2015 16:00:00,28.81
5/8/2015 16:00:00,29.23
5/11/2015 16:00:00,29.21
5/12/2015 16:00:00,29.23
5/13/2015 16:00:00,29.35
5/14/2015 16:00:00,29.05
5/15/2015 16:00:00,29.55
5/18/2015 16:00:00,29.76
5/19/2015 16:00:00,29.74
5/20/2015 16:00:00,29.62
5/21/2015 16:00:00,29.43
5/22/2015 16:00:00,29.26
5/26/2015 16:00:00,28.95
5/27/2015 16:00:00,29.31
5/28/2015 16:00:00,29.35
5/29/2015 16:00:00,29.31
6/1/2015 16:00:00,29.18
6/2/2015 16:00:00,29.08
6/3/2015 16:00:00,29.09
6/4/2015 16:00:00,28.61
6/5/2015 16:00:00,28.58
6/8/2015 16:00:00,28.28
6/9/2015 16:00:00,28.24
6/10/2015 16:00:00,28.66
6/11/2015 16:00:00,28.86
6/12/2015 16:00:00,28.54
6/15/2015 16:00:00,28.48
6/16/2015 16:00:00,28.71
6/17/2015 16:00:00,28.93
6/18/2015 16:00:00,29.21
6/19/2015 16:00:00,29.03
6/22/2015 16:00:00,28.94
6/23/2015 16:00:00,28.79
6/24/2015 16:00:00,28.51
6/25/2015 16:00:00,28.4
6/26/2015 16:00:00,28.28
6/29/2015 16:00:00,27.54
6/30/2015 16:00:00,27.46
7/1/2015 16:00:00,27.35
7/2/2015 16:00:00,27.33
7/6/2015 16:00:00,27.22
7/7/2015 16:00:00,27.36
7/8/2015 16:00:00,26.99
7/9/2015 16:00:00,26.91
7/10/2015 16:00:00,27.28
7/13/2015 16:00:00,27.79
7/14/2015 16:00:00,28.03
7/15/2015 16:00:00,28.11
7/16/2015 16:00:00,28.32
7/17/2015 16:00:00,28.18
7/20/2015 16:00:00,28.03
7/21/2015 16:00:00,27.84
7/22/2015 16:00:00,27.53
7/23/2015 16:00:00,28.01
7/24/2015 16:00:00,28.4
7/27/2015 16:00:00,28.21
7/28/2015 16:00:00,28.21
7/29/2015 16:00:00,28.4
7/30/2015 16:00:00,28.3
7/31/2015 16:00:00,28.42
8/3/2015 16:00:00,28.36
8/4/2015 16:00:00,28.03
8/5/2015 16:00:00,28.27
8/6/2015 16:00:00,28.21
8/7/2015 16:00:00,28.15
8/10/2015 16:00:00,28.59
8/11/2015 16:00:00,28.02
8/12/2015 16:00:00,27.9
8/13/2015 16:00:00,28.7
8/14/2015 16:00:00,29.03
8/17/2015 16:00:00,28.83
8/18/2015 16:00:00,28.25
8/19/2015 16:00:00,27.8
8/20/2015 16:00:00,27.04
8/21/2015 16:00:00,26.47
8/24/2015 16:00:00,25.19
8/25/2015 16:00:00,24.62
8/26/2015 16:00:00,25.68
8/27/2015 16:00:00,26.17
8/28/2015 16:00:00,26
8/31/2015 16:00:00,25.88
9/1/2015 16:00:00,25.12
9/2/2015 16:00:00,25.65
9/3/2015 16:00:00,25.9
9/4/2015 16:00:00,25.52
9/8/2015 16:00:00,26.3
9/9/2015 16:00:00,25.94
9/10/2015 16:00:00,26.26
9/11/2015 16:00:00,26.02
9/14/2015 16:00:00,25.7
9/15/2015 16:00:00,25.98
9/16/2015 16:00:00,26.07
9/17/2015 16:00:00,25.88
9/18/2015 16:00:00,25.54
9/21/2015 16:00:00,25.54
9/22/2015 16:00:00,25.14
9/23/2015 16:00:00,25.28
9/24/2015 16:00:00,25.41
9/25/2015 16:00:00,26.03
9/28/2015 16:00:00,25.66
9/29/2015 16:00:00,25.64
9/30/2015 16:00:00,26.25
10/1/2015 16:00:00,25.73
10/2/2015 16:00:00,25.76
10/5/2015 16:00:00,26.85
10/6/2015 16:00:00,27.23
10/7/2015 16:00:00,27.54
10/8/2015 16:00:00,27.91
10/9/2015 16:00:00,27.91
10/12/2015 16:00:00,27.96
10/13/2015 16:00:00,27.85
10/14/2015 16:00:00,27.82
10/15/2015 16:00:00,28.15
10/16/2015 16:00:00,28.25
10/19/2015 16:00:00,28.25
10/20/2015 16:00:00,28.5
10/21/2015 16:00:00,28.28
10/22/2015 16:00:00,29.01
10/23/2015 16:00:00,29.35
10/26/2015 16:00:00,28.95
10/27/2015 16:00:00,29.05
10/28/2015 16:00:00,29.36
10/29/2015 16:00:00,29.14
10/30/2015 16:00:00,28.85
11/2/2015 16:00:00,28.77
11/3/2015 16:00:00,28.61
11/4/2015 16:00:00,28.47
11/5/2015 16:00:00,28.43
11/6/2015 16:00:00,28.45
11/9/2015 16:00:00,28.18
11/10/2015 16:00:00,27.98
11/11/2015 16:00:00,27.82
11/12/2015 16:00:00,27.83
11/13/2015 16:00:00,26.21
11/16/2015 16:00:00,26.79
11/17/2015 16:00:00,26.81
11/18/2015 16:00:00,27.12
11/19/2015 16:00:00,27.37
11/20/2015 16:00:00,27.57
11/23/2015 16:00:00,27.43
11/24/2015 16:00:00,27.27
11/25/2015 16:00:00,27.24
11/27/2015 16:00:00,27.32
11/30/2015 16:00:00,27.25
12/1/2015 16:00:00,27.57
12/2/2015 16:00:00,27.44
12/3/2015 16:00:00,26.95
12/4/2015 16:00:00,27.48
12/7/2015 16:00:00,27.49
12/8/2015 16:00:00,27.15
12/9/2015 16:00:00,26.73
12/10/2015 16:00:00,26.77
12/11/2015 16:00:00,26.16
12/14/2015 16:00:00,26.49
12/15/2015 16:00:00,26.85
12/16/2015 16:00:00,27.24
12/17/2015 16:00:00,26.72
12/18/2015 16:00:00,26.27
12/21/2015 16:00:00,26.64
12/22/2015 16:00:00,26.89
12/23/2015 16:00:00,27.4
12/24/2015 16:00:00,27.38
12/28/2015 16:00:00,27.31
12/29/2015 16:00:00,27.77
12/30/2015 16:00:00,27.53
12/31/2015 16:00:00,27.16
1/4/2016 16:00:00,26.41
1/5/2016 16:00:00,26.29
1/6/2016 16:00:00,26.01
1/7/2016 16:00:00,25.41
1/8/2016 16:00:00,24.78
1/11/2016 16:00:00,25.27
1/12/2016 16:00:00,25.35
1/13/2016 16:00:00,24.6
1/14/2016 16:00:00,24.66
1/15/2016 16:00:00,23.62
1/19/2016 16:00:00,23.85
1/20/2016 16:00:00,22.9
1/21/2016 16:00:00,22.9
1/22/2016 16:00:00,23.37
1/25/2016 16:00:00,23.17
1/26/2016 16:00:00,23.72
1/27/2016 16:00:00,23.43
1/28/2016 16:00:00,23.11
1/29/2016 16:00:00,23.79
2/1/2016 16:00:00,23.48
2/2/2016 16:00:00,22.83
2/3/2016 16:00:00,23.1
2/4/2016 16:00:00,23.54
2/5/2016 16:00:00,22.89
2/8/2016 16:00:00,22.93
2/9/2016 16:00:00,22.65
2/10/2016 16:00:00,22.51
2/11/2016 16:00:00,24.68
2/12/2016 16:00:00,25.11
2/16/2016 16:00:00,25.84
2/17/2016 16:00:00,26.46
2/18/2016 16:00:00,26.43
2/19/2016 16:00:00,26.55
2/22/2016 16:00:00,26.63
2/23/2016 16:00:00,26.12
2/24/2016 16:00:00,26.32
2/25/2016 16:00:00,26.6
2/26/2016 16:00:00,26.41
2/29/2016 16:00:00,26.18
3/1/2016 16:00:00,26.83
3/2/2016 16:00:00,26.9
3/3/2016 16:00:00,26.87
3/4/2016 16:00:00,26.8
3/7/2016 16:00:00,27.14
3/8/2016 16:00:00,27.05
3/9/2016 16:00:00,27.61
3/10/2016 16:00:00,27.38
3/11/2016 16:00:00,27.86
3/14/2016 16:00:00,27.7
3/15/2016 16:00:00,27.66
3/16/2016 16:00:00,27.88
3/17/2016 16:00:00,28.19
3/18/2016 16:00:00,28.33
3/21/2016 16:00:00,28.19
3/22/2016 16:00:00,28.28
3/23/2016 16:00:00,27.83
3/24/2016 16:00:00,27.96
3/28/2016 16:00:00,27.9
3/29/2016 16:00:00,28.1
3/30/2016 16:00:00,28.46
3/31/2016 16:00:00,28.47
4/1/2016 16:00:00,28.69
