Date,Close
1/2/2015 16:00:00,17.93
1/5/2015 16:00:00,17.76
1/6/2015 16:00:00,17.73
1/7/2015 16:00:00,17.56
1/8/2015 16:00:00,17.91
1/9/2015 16:00:00,17.93
1/12/2015 16:00:00,17.82
1/13/2015 16:00:00,17.8
1/14/2015 16:00:00,17.27
1/15/2015 16:00:00,17
1/16/2015 16:00:00,17.22
1/20/2015 16:00:00,17.01
1/21/2015 16:00:00,17.16
1/22/2015 16:00:00,17.6
1/23/2015 16:00:00,17.61
1/26/2015 16:00:00,17.72
1/27/2015 16:00:00,17.37
1/28/2015 16:00:00,16.96
1/29/2015 16:00:00,17.13
1/30/2015 16:00:00,17
2/2/2015 16:00:00,17.41
2/3/2015 16:00:00,17.69
2/4/2015 16:00:00,17.69
2/5/2015 16:00:00,17.88
2/6/2015 16:00:00,17.73
2/9/2015 16:00:00,17.62
2/10/2015 16:00:00,18.4
2/11/2015 16:00:00,18.3
2/12/2015 16:00:00,18.31
2/13/2015 16:00:00,19.02
2/17/2015 16:00:00,19.3
2/18/2015 16:00:00,19.3
2/19/2015 16:00:00,19.27
2/20/2015 16:00:00,19.45
2/23/2015 16:00:00,19.27
2/24/2015 16:00:00,19.33
2/25/2015 16:00:00,19.6
2/26/2015 16:00:00,19.59
2/27/2015 16:00:00,19.52
3/2/2015 16:00:00,20.04
3/3/2015 16:00:00,19.72
3/4/2015 16:00:00,19.65
3/5/2015 16:00:00,19.49
3/6/2015 16:00:00,19.45
3/9/2015 16:00:00,19.57
3/10/2015 16:00:00,19.38
3/11/2015 16:00:00,19.28
3/12/2015 16:00:00,19.58
3/13/2015 16:00:00,19.51
3/16/2015 16:00:00,19.61
3/17/2015 16:00:00,19.3
3/18/2015 16:00:00,19.35
3/19/2015 16:00:00,19.25
3/20/2015 16:00:00,19.2
3/23/2015 16:00:00,19.75
3/24/2015 16:00:00,19.72
3/25/2015 16:00:00,19.39
3/26/2015 16:00:00,19.39
3/27/2015 16:00:00,19.7
3/30/2015 16:00:00,20.4
3/31/2015 16:00:00,20.81
4/1/2015 16:00:00,20.56
4/2/2015 16:00:00,20.91
4/6/2015 16:00:00,20.24
4/7/2015 16:00:00,20.08
4/8/2015 16:00:00,20.57
4/9/2015 16:00:00,20.62
4/10/2015 16:00:00,20.62
4/13/2015 16:00:00,20.5
4/14/2015 16:00:00,20.65
4/15/2015 16:00:00,20.79
4/16/2015 16:00:00,20.74
4/17/2015 16:00:00,20.63
4/20/2015 16:00:00,20.73
4/21/2015 16:00:00,20.7
4/22/2015 16:00:00,20.8
4/23/2015 16:00:00,20.97
4/24/2015 16:00:00,20.59
4/27/2015 16:00:00,20.37
4/28/2015 16:00:00,20.47
4/29/2015 16:00:00,20.39
4/30/2015 16:00:00,20.28
5/1/2015 16:00:00,21.25
5/4/2015 16:00:00,21.18
5/5/2015 16:00:00,20.95
5/6/2015 16:00:00,21.85
5/7/2015 16:00:00,21.7
5/8/2015 16:00:00,21.93
5/11/2015 16:00:00,21.76
5/12/2015 16:00:00,21.75
5/13/2015 16:00:00,21.87
5/14/2015 16:00:00,21.96
5/15/2015 16:00:00,21.71
5/18/2015 16:00:00,21.99
5/19/2015 16:00:00,22.42
5/20/2015 16:00:00,22.48
5/21/2015 16:00:00,22.5
5/22/2015 16:00:00,22.56
5/26/2015 16:00:00,22.24
5/27/2015 16:00:00,22.19
5/28/2015 16:00:00,21.94
5/29/2015 16:00:00,21.95
6/1/2015 16:00:00,21.95
6/2/2015 16:00:00,22.12
6/3/2015 16:00:00,22.23
6/4/2015 16:00:00,21.89
6/5/2015 16:00:00,21.76
6/8/2015 16:00:00,21.52
6/9/2015 16:00:00,21.57
6/10/2015 16:00:00,21.8
6/11/2015 16:00:00,21.86
6/12/2015 16:00:00,21.47
6/15/2015 16:00:00,21.19
6/16/2015 16:00:00,21.29
6/17/2015 16:00:00,21.14
6/18/2015 16:00:00,21.28
6/19/2015 16:00:00,21.3
6/22/2015 16:00:00,21.47
